artist,album,albumyear,bayesian,votes,rating,played
Ábrete Gandul,Referencias Circulares,2018,4.54,4,4.63,10
Ábrete Gandul,Enjambre Sismico,2011,4.29,4,4.25,16
Absentia,Black & White,2016,4.25,7,4.21,33
Abstract Shadows,Symphony of Hakel,2007,4.22,6,4.17,21
Abstraction,Nightmare,2017,4.41,6,4.42,4
Abstraction,End of Hope,2014,4.47,7,4.50,58
Abydos,Abydos (Andy Kuntz),2004,4.87,48,4.89,166
Acacia Avenue,Acacia Avenue,2009,4.19,2,4.00,4
Acanthe,Someone Somewhere,2009,4.25,1,4.00,17
Acid Empire,Acid Empire,2014,4.42,1,4.50,5
Acid Rain,Worlds Apart EP,2008,4.65,3,4.83,4
Acid Rain,Game of life,2007,4.54,5,4.60,5
Acolyte,Entropy,2021,4.61,18,4.64,43
Acolyte,Shades of Black,2016,3.96,4,3.75,4
Acute Mind,Under the Empty Sky,2020,4.70,7,4.79,38
Adagio,Life,2017,4.49,14,4.50,60
Adagio,A Band in Upperworld - Bonus,2010,4.42,1,4.50,2
Adagio,Archangels In Black,2009,4.66,6,4.75,9
Adagio,Dominate,2006,4.72,24,4.75,58
Adagio,A Band In Upperworld- Live,2004,4.25,1,4.00,16
Adagio,Underworld,2003,4.80,19,4.84,55
Adagio,Sanctus Ignis,2001,4.66,6,4.75,22
Adam Holzman,Truth Decay,2018,3.98,9,3.89,25
Adam Ironside,...Of Wars Across Andromeda,2019,4.18,5,4.10,8
Adam Ironside,The SkyPainter,2016,4.47,7,4.50,17
Adam Ironside,Cosmology,2012,4.21,4,4.13,7
Adamantra,Act 2: Silent Narratives,2014,4.29,4,4.25,7
Adamantra,Revival,2009,4.46,4,4.50,3
Adamantra,For Ever,2006,4.25,1,4.00,2
Adonikam,Adonikam,2008,4.09,1,3.50,64
Adrian Belew Power Trio,e,2009,4.05,3,3.83,21
Adrian Galysh,Into the Blue,2016,4.55,3,4.67,4
Adrian Galysh,Tone Poet,2013,4.54,5,4.60,4
Advent,Silent Sentinel,2015,4.34,21,4.33,264
Advent,Cantus Firmus,2006,4.25,7,4.21,198
Advent Horizon,Tequila Mockingbird EP,2017,4.15,3,4.00,2
Advent Horizon,Stagehound,2015,4.42,1,4.50,2
Advent Horizon,Immured,2011,4.11,5,4.00,5
Adventure,Caught in the Web,2014,4.15,3,4.00,31
Aeon Spoke,Aeon Spoke,2004,4.39,5,4.40,151
Aeon Zen,Transversal,2021,4.48,12,4.50,34
Aeon Zen,Inveritas,2019,4.42,14,4.43,12
Aeon Zen,Ephemera,2014,4.41,6,4.42,11
Aeon Zen,Self Portrait,2013,4.59,1,5.00,14
Aeon Zen,Enigma,2013,4.42,1,4.50,3
Aeon Zen,The Face Of The Unknown,2010,4.38,4,4.38,14
Aeonic Impulse,A Night For The Troubled,2016,4.09,1,3.50,1
Aerostation,Aerostation,2018,4.15,3,4.00,7
Aesma Daeva,The Thallasa Mixes,2008,4.25,1,4.00,3
Aeternam,Heir of the Rising Sun,2022,4.19,2,4.00,3
Aethellis,Aethellis,2003,4.42,1,4.50,23
Afasia,Nelle Vesti Del Mio Ego,2016,4.35,3,4.33,7
Afenginn,Lux,2013,4.45,3,4.50,40
Affector,Harmagedon,2012,4.53,6,4.58,6
After,Hideout,2008,4.52,10,4.55,672
After,Endless Lunatic,2005,4.75,11,4.82,142
After Crying,6,1997,4.04,4,3.88,26
After Eternity,The Leap Of Pain,2017,4.25,3,4.17,28
After Forever,After Forever,2007,4.75,7,4.86,51
After Forever,Remagine,2005,4.60,16,4.63,30
After Forever,Invisible Circles,2004,4.53,6,4.58,22
After Forever,My Choice - The Evil That Men Do,2003,4.75,9,4.83,31
After Forever,Exordium,2003,4.60,6,4.67,41
After Forever,Decipher,2001,4.54,5,4.60,18
After Forever,Prison Of Desire,2000,4.88,8,5.00,21
After The Fall,Early Light,2018,4.11,5,4.00,20
After The Fall,kNOwleDGE,2005,4.66,15,4.70,206
Age Of Artemis,The Waking Hour,2014,4.13,4,4.00,7
Age Of Nemesis,Terra Incognita,2007,4.56,20,4.58,59
Age Of Nemesis,Psychogeist,2006,4.47,6,4.50,27
Age Of Nemesis,Internet Covers,2003,4.33,8,4.31,18
Agent Fresco,Destrier,2015,3.97,6,3.83,33
Agents of Mercy,The Black Forest,2011,4.55,21,4.57,137
Agents of Mercy,Dramarama,2010,4.40,11,4.41,204
Agents of Mercy,The Fading Ghosts Of Twilight,2009,4.65,16,4.69,345
Aghora,Entheogenic Frequencies,2019,4.48,8,4.50,12
Aghora,Formless,2006,4.57,9,4.61,55
Aghora,Aghora,1999,4.46,4,4.50,6
Agnesis,In Places We Keep,2018,3.59,1,2.00,8
Agnieszka Swita,Sleepless,2014,4.54,16,4.56,25
Agora,Imperio,2020,4.21,4,4.13,21
Agora,Regresa al Vértigo,2011,4.44,2,4.50,1
Agora,Zona De Silencio,2005,4.09,1,3.50,4
Agusa,En annan värld,2021,4.47,6,4.50,6
Agusa,Agusa,2017,4.64,14,4.68,150
Agusa,Katarsis,2016,4.42,1,4.50,8
Agusa,Två,2015,4.40,11,4.41,50
Agusa,Högtid,2014,4.48,9,4.50,42
Aina,Days Of Rising Doom,2003,4.24,16,4.22,21
Airbag,A Day at the Beach,2020,4.40,15,4.40,29
Airbag,Disconnected,2016,4.59,30,4.60,175
Airbag,The Greatest Show On Earth,2013,4.55,13,4.58,64
Airbag,All Rights Removed,2011,4.07,2,3.75,40
Airbag,Sounds That I Hear,2007,4.25,3,4.17,267
Aisles,Hawaii (CD 1),2016,4.45,3,4.50,5
Aisles,Hawaii (CD 2),2016,4.19,2,4.00,3
Ajalon,This Good Place,2009,4.53,6,4.58,409
Akashic,A Brand New Day,2005,4.35,3,4.33,8
Akashic,Timeless Realm,2002,4.42,1,4.50,23
Akord,Carry the Sound,2013,4.35,3,4.33,3
Akphaezya,Anthology IV: The Tragedy of Nerak,2012,4.36,18,4.36,34
Akphaezya,Anthology II: Links from the dead Trinity,2008,4.07,9,4.00,8
Akribi,Anima,2016,4.45,3,4.50,18
Alan Davey,Hawkestrel - The future is us,2019,4.09,1,3.50,3
Alan Parsons,The Secret,2019,4.38,20,4.38,33
Alan Parsons Project,Live in Madrid,2005,4.39,14,4.39,38
Alan Parsons Project,Try Anything Once,1993,4.25,3,4.17,4
Alan Parsons Project,Gaudi (Extpanded Edition),1987,4.42,7,4.43,24
Alan Parsons Project,Stereotomy (Expanded Edition),1985,4.57,38,4.58,287
Alan Parsons Project,Ammonia Avenue (Expanded Edition),1984,4.37,19,4.37,168
Alan Parsons Project,Eye In The Sky (Expanded Edition),1982,4.72,40,4.74,341
Alan Parsons Project,The Turn Of A Friendly Card (Expanded Edition),1980,4.72,20,4.75,67
Alan Parsons Project,Eve (Expanded Edition),1979,4.58,21,4.60,209
Alan Parsons Project,Pyramid (Expanded Edition),1978,4.54,15,4.57,108
Alan Parsons Project,I Robot (Expanded Edition),1977,4.72,45,4.73,200
Alan Parsons Project,Tales Of Mystery And Imagination (Expanded Edition),1976,4.68,61,4.69,325
Alan Reed,Honey On The Razors Edge,2017,4.21,9,4.17,38
Alan Simon,Excalibur II: L'Anneau Des Celtes,2007,4.20,14,4.18,128
Alarion,Waves Of Destruction,2016,4.05,3,3.83,2
Albatros,Ursus,2011,4.19,2,4.00,3
Alberto Rigoni,Songs For Souls,2022,4.40,11,4.41,28
Albion,You'll Be Mine,2018,4.69,2,5.00,31
Alcatrazz,Live Sentence,1984,4.11,5,4.00,9
Alco Frisbass,Le Mystère Du Gué Pucelle,2021,4.42,7,4.43,9
Alco Frisbass,Le Bateleur,2018,4.28,6,4.25,26
Aldenfield,Light of Day,2017,4.32,13,4.31,60
Alessandro Bertoni,Monarkeys,2019,4.57,2,4.75,8
Alessandro Corvaglia,Out Of The Gate,2021,4.29,4,4.25,15
Alex Argento,EGO.,2007,4.38,4,4.38,6
Alex Carpani,Microcosm,2022,4.25,3,4.17,18
Alex Carpani,So Close. So Far,2016,4.07,16,4.03,116
Alex Carpani,The Sanctuary,2010,3.93,8,3.81,24
Alex Carpani,Waterline,2005,4.31,7,4.29,248
Alex Lifeson,Victor,1996,4.38,13,4.38,331
Ali Ferguson,A Sequence of Moments,2016,4.57,37,4.58,371
Aliases,Derangeable,2016,4.09,1,3.50,1
All Things Fallen,Shadow Way,2022,4.66,6,4.75,9
All Things Fallen,All Things Fallen,2019,4.34,9,4.33,19
All Too Human,Juggernaut,2012,4.25,1,4.00,3
All Too Human,Entropy,2002,4.25,1,4.00,8
All Traps On Earth,A Drop Of Light,2018,4.36,10,4.35,28
Allen/Lande,The Great Divide,2014,4.52,15,4.53,45
Allen/Lande,The Showdown,2010,4.57,17,4.59,19
Allen/Lande,The Revenge,2007,4.57,16,4.59,42
Allen/Lande,The Battle,2005,4.51,21,4.52,32
Allen/Olzon,Worlds Apart,2020,4.48,30,4.48,65
Almah / Edu Falaschi,Almah / Edu Falaschi,2006,4.13,4,4.00,12
Alms,The Trial,2022,4.04,4,3.88,16
Alogia,Elegia Balcanica,2014,4.59,1,5.00,1
Alogia,Secret Spheres Of Art,2002,4.90,11,5.00,22
Alpha Lighting System,H+,2020,4.04,4,3.88,19
AlphaJorge,Storm Ahead,2019,4.53,6,4.58,17
Also Eden,[Redacted],2013,4.41,6,4.42,39
Also Eden,Think of the Children!,2011,4.21,4,4.13,59
Also Eden,Differences As Light,2010,4.25,1,4.00,13
Alta Forma,Spatium & Tempus,2022,4.39,9,4.39,9
Altair,Descending (A Devilish Comedy),2017,4.19,2,4.00,5
Altavia,Kreosote,2016,4.25,1,4.00,1
Altera Enigma,Alteration,2006,4.07,2,3.75,2
Altered Symmetry,Prologue,2011,4.09,1,3.50,3
Altesia,Embryo,2021,4.47,6,4.50,9
Altesia,Paragon Circus,2019,4.47,6,4.50,12
Althea,The Art of Trees,2019,4.43,8,4.44,27
Altura,Mercy,1996,4.54,4,4.62,8
Amadeus Awad,Death Is Just A Feeling,2015,4.51,17,4.53,218
Amadeus Awad's Eon,The Book of Gates,2014,4.75,3,5.00,13
Amalgam Effect,Sketches,2019,3.94,2,3.50,11
Amalgam Effect,As We Were,2017,4.57,9,4.61,9
Amantis,The Call,2018,4.09,1,3.50,6
Amaran's Plight,Voice In The Light,2007,4.68,19,4.71,56
Amarok (ES),Quentadharken,2004,4.13,16,4.09,75
Amarok (PL),Hero,2021,4.61,5,4.70,16
Amarok (PL),Hunt,2000,4.29,4,4.25,47
Amaseffer,Exodus - Slaves for Life,2008,4.64,66,4.65,1502
Ambeon,Fate Of A Dreamer,2001,4.81,69,4.83,1786
Amberian Dawn,Looking For You,2020,4.25,7,4.21,6
Amberian Dawn,Darkness Of Eternity,2017,4.38,4,4.38,8
Amberian Dawn,Innuendo,2015,4.44,10,4.45,9
Amberian Dawn,Magic Forest,2014,4.48,10,4.50,29
Amberian Dawn,Re-Evolution,2013,4.14,7,4.07,4
Amberian Dawn,Circus Black,2012,4.32,2,4.25,3
Amberian Dawn,The Clouds Of Northland Thunder,2009,4.19,2,4.00,2
Amberian Dawn,River Of Tuoni,2008,4.25,1,4.00,2
Ambrosia,Ambrosia,1975,4.69,37,4.70,419
Amenophis,Time,2014,4.58,8,4.63,8
Amenophis,Amenophis,1983,3.95,3,3.67,13
Amgala Temple,Invisible Airships,2018,4.44,2,4.50,7
Amon Ra,We Never Said Good-Bye,2015,4.42,1,4.50,18
Amoral,In Sequence,2016,4.09,1,3.50,2
Amoral,Fallen Leaves & Dead Sparrows,2014,4.71,4,4.88,24
Amoral,Beneath,2012,4.09,1,3.50,4
Amorphis,Halo,2022,4.23,10,4.20,15
Amorphis,Queen Of Time,2018,4.65,3,4.83,7
Amorphis,Under The Red Cloud,2015,4.25,1,4.00,3
Amorphis,Tuonela,1999,4.69,2,5.00,5
Amorphis,My Kantele,1997,4.07,2,3.75,2
Amorphis,Elegy.,1996,4.25,1,4.00,1
Amplifier,Trippin' With Dr. Faustus,2017,4.28,6,4.25,41
Amplifier,Mystoria,2014,4.41,6,4.42,24
Amplifier,Echo Street,2013,4.46,4,4.50,17
Amplifier,Octopus (Part One),2011,4.09,1,3.50,11
Amplifier,Octopus (Part Two),2010,4.25,3,4.17,17
Amplifier,Eternity,2009,4.42,1,4.50,14
Amplifier,The Astronaut Dismantles HAL,2005,4.36,10,4.35,88
Amplifier,Amplifier,2005,4.15,3,4.00,17
Amuzeum,New Beginnings,2020,4.45,3,4.50,4
An Endless Sporadic,Magic Machine,2016,4.71,16,4.75,26
An Endless Sporadic,Singles,2014,4.55,3,4.67,3
An Endless Sporadic,Anything,2014,4.59,1,5.00,1
An Endless Sporadic,The Adventures of Jabubu,2014,4.25,1,4.00,1
An Endless Sporadic,An Endless Sporadic,2009,4.80,14,4.86,34
An Endless Sporadic,Ameliorate,2009,4.64,7,4.71,11
Anabiosis,Submerged Into Scattered Patterns,2018,3.94,2,3.50,2
Anasazi,Ask the Dust,2018,4.57,15,4.60,59
Anasazi,1000 Yard Stare,2014,4.11,9,4.06,77
Anathema,The Optimist,2017,4.39,27,4.39,223
Anathema,Distant Satellites,2014,4.49,34,4.50,209
Anathema,Weather Systems,2012,4.73,30,4.75,289
Anathema,Falling Deeper,2011,4.36,14,4.36,117
Anathema,We're Here Because We're Here,2010,4.58,7,4.64,112
Anathema,Hindsight,2008,4.25,1,4.00,12
Anathema,Were You There,2004,4.66,6,4.75,35
Anathema,A Natural Disaster,2003,4.75,11,4.82,40
Anathema,Alternative 4,2003,4.43,9,4.44,23
Anathema,A Fine Day To Exit,2001,4.19,2,4.00,14
Anathema,Judgement,1999,4.42,1,4.50,22
Anaxes,Antithesis,2010,4.73,8,4.81,16
Ancient Bards,A New Dawn Ending,2014,4.38,4,4.38,18
Anciients,Voice Of The Void,2016,4.45,12,4.46,48
Anciients,Heart of Oak,2013,4.61,14,4.64,70
"Anderson, Bruford, Wakeman, Howe","Anderson, Bruford, Wakeman, Howe",1989,4.78,22,4.82,336
Anderson/Stolt,Invention Of Knowledge,2016,4.63,40,4.64,490
AndersonPonty Band,Better Late Than Never,2015,4.71,48,4.72,335
Andre Fertier's Clivage,Mixtus Orbus,1978,4.09,1,3.50,1
Andre Matos,Time To Be Free,2007,4.76,16,4.81,55
Andre Nieri,Two Tone Sessions (Live),2016,4.32,2,4.25,3
Andrew Roussak,Storm Warning,2019,4.61,10,4.65,37
Andrew Roussak,Blue Intermezzo,2010,4.25,1,4.00,4
Andrew Roussak,No Trespassing,2007,4.35,3,4.33,6
Android,Another Midnight Ball,2022,4.39,5,4.40,18
Android,Embergép / Man Maschine,2016,4.25,5,4.20,8
Andromeda,Manifest Tyranny,2011,4.55,14,4.57,28
Andromeda,The Immunity Zone,2008,4.45,14,4.46,29
Andromeda,Chimera,2006,4.65,13,4.69,36
Andromeda,II = I,2003,4.63,28,4.64,57
Andromeda,Extension Of The Wish - Final Extension,2001,4.63,26,4.65,82
Andromeda,Extension Of The Wish,2001,4.59,17,4.62,51
Andy Jackson,73 Days At Sea,2016,4.40,11,4.41,41
Andy Jackson,Signal to Noise,2014,4.23,10,4.20,41
Andy Timmons Band,Resolution,2006,4.70,17,4.74,215
Anekdoten,Until All The Ghosts Are Gone,2015,4.38,12,4.37,84
Anekdoten,Chapters - Disc 1,2009,4.30,17,4.29,155
Anekdoten,A Time of Day,2007,4.68,5,4.80,307
Anekdoten,Gravity,2003,4.65,10,4.70,71
Anekdoten,From Within,1999,4.29,4,4.25,139
Anekdoten,Vemod,1993,3.86,7,3.71,160
Anèma,Umana città,2019,3.95,3,3.67,4
Anèma,After the Sea,2017,4.25,1,4.00,5
Anette Olzon,Shine,2014,4.16,12,4.13,21
Angel Of Eden,The End Of Never,2007,4.82,5,5.00,8
Angertea,Snakes in Blossom,2016,4.05,3,3.83,4
Änglagård,Prog Pa Svenska - Live In Japan [Disc 1],2014,4.84,12,4.92,211
Änglagård,Prog Pa Svenska - Live In Japan [Disc 2],2014,4.64,7,4.71,62
Änglagård,Viljars Öga,2012,4.72,13,4.77,176
Änglagård,Buried Alive,1996,4.46,18,4.47,415
Änglagård,Epilog,1994,4.47,5,4.50,72
Änglagård,Hybris,1992,4.85,23,4.89,759
Angra,Ømni,2018,4.48,9,4.50,33
Angra,Secret Garden,2015,4.53,7,4.57,27
Angra,Aurora Consurgens,2006,4.42,1,4.50,8
Angra,Temple Of Shadows,2004,4.80,17,4.85,79
Angra,Rebirth World Tour - Live In Sao Paulo CD1,2003,4.79,4,5.00,20
Angra,Rebirth World Tour - Live In Sao Paulo CD2,2003,4.31,7,4.29,11
Angra,Angels Cry,1999,4.89,9,5.00,52
Angra,Fireworks,1998,4.66,9,4.72,22
Angra,Holy Land,1996,4.79,11,4.86,39
Angtoria,God Has A Plan For Us All,2006,4.54,19,4.55,75
Angulart,Donde Renacen Las Horas,2004,4.46,4,4.50,88
Anima Morte,Serpents In The Fields Of Sleep,2022,4.25,5,4.20,7
Anima Morte,Upon Darkened Stains,2014,4.32,5,4.30,70
Anima Mundi,Insomnia,2018,4.16,12,4.12,42
Anima Mundi,I Me Myself,2016,4.26,26,4.25,171
Anima Mundi,The Lamplighter,2013,4.25,5,4.20,32
Anima Mundi,The Way,2010,4.53,7,4.57,87
Anima Mundi,Jagannath orbit,2008,4.28,6,4.25,30
Animals As Leaders,Parrhesia,2022,4.42,14,4.43,28
Animals As Leaders,Live 2017,2017,3.94,2,3.50,8
Animals As Leaders,The Madness of Many,2016,4.45,12,4.46,24
Animals As Leaders,The Joy of Motion,2014,4.54,5,4.60,48
Animals As Leaders,Animals As Leaders,2009,4.61,10,4.65,26
Animate,Infinite Imaginations,2021,4.20,7,4.14,7
Animations,Reset Your Soul,2009,4.80,17,4.85,75
Animations,Non-album Track,2008,4.59,1,5.00,5
Animations,Animations,2007,4.44,2,4.50,5
Annot Rhül,Leviathan,2014,4.36,17,4.35,187
Annot Rhül,Lost in the Woods,2007,4.06,10,4.00,58
Anomaly,Anomaly,1998,4.23,8,4.19,13
Another World,Human Nature,2017,4.29,4,4.25,5
Ansata,Crux Ansata,2008,4.15,3,4.00,5
Antalgia,Twisted Dreams Of Dark Commander,2016,4.42,1,4.50,1
Anthea,Tales Untold,2022,4.32,2,4.25,4
Anthony Phillips,Field Day (Cd 2),2005,4.61,19,4.63,85
Anthony Phillips,Field Day (Cd 1),2005,4.49,19,4.50,66
Anthony Phillips,Private Parts & Pieces X - Soiree,1999,4.11,5,4.00,34
Anthony Phillips,Missing Links Vol. 3 - Time & Tide,1997,4.46,4,4.50,15
Anthony Phillips,The Meadows Of Englewood,1996,4.29,4,4.25,23
Anthony Phillips,Private Parts And Pieces VIII- New England,1992,4.13,8,4.06,34
Anthony Phillips,Wise after the Event,1978,4.30,17,4.29,166
Anthony Phillips,"The Geese And The Ghost (2007 Remaster, Disc 1)",1977,4.55,23,4.57,297
Anthony Phillips,"The Geese And The Ghost (2007 Remaster, Disc 2 Bonus Tracks)",1977,4.32,13,4.31,35
Anthriel,Transcendence,2017,4.63,4,4.75,19
Anthriel,The Pathway,2010,4.15,3,4.00,8
Anthropia,Non-Euclidean Spaces,2015,4.76,22,4.80,110
Anthropia,The Chain Reaction,2009,4.54,4,4.62,6
Anthropia,The Ereyn Chronicles  Part I - The Journey of Beginnings,2006,4.45,3,4.50,5
Anti Clock Tower,Tic Toc Turmoil,2018,4.25,1,4.00,9
Anti-Depressive Delivery,Chain of Foods,2008,4.25,1,4.00,6
Anti-Depressive Delivery,Feel. Melt. Release. Escape.,2004,4.42,1,4.50,4
Antimatter,Black Market Enlightenment,2018,4.29,4,4.25,4
Antimatter,The Judas Table,2015,4.13,4,4.00,35
Antimatter,Fear Of A Unique Identity,2012,4.40,20,4.40,135
Antimatter,Leaving Eden,2007,4.29,4,4.25,18
Antimatter,Planetary Confinement,2005,4.15,3,4.00,149
Antinode,The Canary That Named The Stars,2021,4.25,3,4.17,3
Antoine Fafard,Borromean Odyssey,2019,4.14,7,4.07,25
Antoine Fafard,Proto Mundi,2017,4.35,6,4.33,53
Antoine Fafard,Doomsday Vault,2017,3.93,9,3.83,32
Antoine Fafard,Sphère,2016,4.25,1,4.00,12
Antoine Fafard,Ad Perpetuum,2015,4.13,4,4.00,11
Antoine Fafard,Occultus Tramitis,2013,4.25,1,4.00,13
Antoine Fafard,Solus Operandi,2011,4.07,2,3.75,21
Antoine's Legacy,Antoine's Legacy,2017,4.66,6,4.75,37
Anton Johansson's Galahad Suite,Galahad Suite,2013,4.70,7,4.79,50
Antonius Rex,Hystero Demonopathy,2012,4.62,17,4.65,29
Antony Kalugin,Rebirth,2022,4.35,6,4.33,10
Antony Kalugin,Stellar Gardener,2021,4.49,16,4.50,43
Antony Kalugin,Chameleon Shapeshifter,2021,4.45,3,4.50,13
Antony Kalugin,Marshmallow Moondust,2020,4.66,6,4.75,15
Antony Kalugin Kinematics Orchestra,Akko I,2013,3.93,8,3.81,5
Anubis,Homeless,2020,4.37,11,4.36,31
Anubis,Different Stories,2018,4.44,20,4.45,92
Anubis,The Second Hand,2017,4.45,12,4.46,172
Anubis,Hitchhiking To Byzantium,2014,4.60,6,4.67,19
Anubis,A Tower of Silence,2011,4.35,3,4.33,16
Anubis,230503,2009,4.21,4,4.13,84
Anubis Gate,Covered in Colours,2020,4.24,24,4.23,61
Anubis Gate,Covered In Black,2017,4.31,23,4.30,68
Anubis Gate,Horizons,2014,4.23,8,4.19,41
Anubis Gate,Sheep EP,2013,4.25,1,4.00,1
Anubis Gate,Anubis Gate,2011,4.35,3,4.33,4
Anubis Gate,Andromeda Unchained,2007,4.66,18,4.69,85
Anubis Gate,A Perfect Forever,2005,4.42,14,4.43,36
Anubis Gate,Purification,2004,4.68,13,4.73,15
