artist,album,albumyear,genre,bayesian,votes,rating,played
Aeon Zen,Enigma,2013,Progressive,3.99,31,3.89,48
Aeon Zen,Ephemera,2014,Progressive,4.07,2,4.00,11
Aeon Zen,The Face Of The Unknown,2010,Progressive,4.12,13,4.27,42
Aeon Zen,A Mind's Portrait,2009,Progressive,4.12,105,4.14,470
Aeon Zen,Self Portrait,2013,Progressive,4.13,8,4.37,25
Aesma Daeva,The Thallasa Mixes,2008,"Symphonic, Goth Doom, Female-Fronted",4.09,51,4.11,218
Aethellis,Aethellis,2003,"Symphonic, Genesis & Influenced",4.04,9,3.89,17
Afenginn,Lux,2013,Folk/Celtic,3.98,12,3.71,17
Affector,Harmagedon,2012,"Symphonic, Christian",4.10,2,4.50,3
After,Endless Lunatic,2005,Crossover,3.90,28,3.68,94
After,Hideout,2008,Crossover,4.26,114,4.32,435
After Forever,Emphasis ~ Who Wants To Live Forever,2002,"Symphonic, Goth Doom, Female-Fronted",4.08,2,4.25,4
After Forever,Prison Of Desire,2000,"Symphonic, Goth Doom, Female-Fronted",4.09,82,4.10,429
After Forever,My Choice - The Evil That Men Do,2003,"Symphonic, Goth Doom, Female-Fronted",4.10,7,4.21,68
After Forever,Remagine,2005,"Symphonic, Goth Doom, Female-Fronted",4.14,120,4.16,947
After Forever,Decipher,2001,"Symphonic, Goth Doom, Female-Fronted",4.16,73,4.20,343
After Forever,Invisible Circles,2004,"Symphonic, Goth Doom, Female-Fronted",4.18,62,4.25,497
After Forever,Exordium,2003,"Symphonic, Goth Doom, Female-Fronted",4.19,34,4.32,221
After Forever,After Forever,2007,"Symphonic, Goth Doom, Female-Fronted",4.30,141,4.37,836
After The Fall,kNOwleDGE,2005,AOR,4.00,11,3.77,91
Age Of Artemis,The Waking Hour,2014,"Melodic, Power",4.05,4,3.88,14
Age Of Nemesis,Psychogeist,2006,Technical DTI,4.15,49,4.21,162
Age Of Nemesis,Internet Covers,2003,"Technical DTI, Cover Songs",4.20,47,4.31,192
Age Of Nemesis,Terra Incognita,2007,Technical DTI,4.34,136,4.42,951
Age Of Silence,Acceleration,2005,Technical,4.06,36,4.06,113
Agent Fresco,Destrier,2015,Progressive,4.06,2,3.75,4
Agents of Mercy,Dramarama,2010,Neo-Progressive,3.87,67,3.76,168
Agents of Mercy,The Fading Ghosts Of Twilight,2009,Neo-Progressive,3.92,87,3.86,275
Agents of Mercy,The Black Forest,2011,Neo-Progressive,4.03,44,3.99,74
Aghora,Aghora,1999,"Technical, Female-Fronted, Eastern/Ethnic Influence",3.98,39,3.88,117
Aghora,Formless,2006,"Technical, Female-Fronted, Eastern/Ethnic Influence",4.25,199,4.29,724
Agitation Free,Malesch,1972,KrautRock,4.07,2,4.00,3
Agora,Segundo Pasado,2001,"Technical DTI, Non-English Language",4.00,13,3.81,41
Agora,Zona De Silencio,2005,"Technical DTI, Non-English Language",4.02,32,3.95,89
Agorà,Agorà 2,1976,Jazz,4.10,2,4.50,2
Agora (US),Voyager EP,2012,"Heavy, Jazz, Instrumental",4.06,6,4.00,15
Agusa,Högtid,2014,"Psychedelic, Jam, Instrumental",4.08,10,4.10,15
Agusa,Två,2015,"Psychedelic, Jam, Instrumental",4.10,4,4.38,4
Ain Soph,A Story Of Mysterious Forest,1980,"Symphonic, Jazz, Instrumental",0.00,0,0.00,0
Aina,Days Of Rising Doom,2003,"Power, Symphonic, Opera",4.01,43,3.95,198
Airbag,Disconnected,2016,Progressive,0.00,0,0.00,0
Airbag,Sounds That I Hear,2007,"Psychedelic, PT Influenced",3.97,60,3.91,235
Airbag,All Rights Removed,2011,"Psychedelic, PT Influenced",4.00,16,3.84,29
Airbag,The Greatest Show On Earth,2013,"Psychedelic, PT Influenced",4.10,5,4.30,23
Aisles,In Sudden Walks,2009,"Neo-Progressive, Non-English Language",4.04,50,4.02,301
Aisles,Hawaii,2016,"Neo-Progressive, Non-English Language",4.07,1,4.00,7
Ajalon,This Good Place,2009,"Symphonic, Christian",4.05,48,4.03,308
Akashic,Timeless Realm,2002,Symphonic,4.03,11,3.86,24
Akashic,A Brand New Day,2005,Symphonic,4.19,64,4.25,304
Akord,Carry the Sound,2013,Heavy,4.10,12,4.17,15
Akt,Dentrokirtos,2007,Eclectic,0.00,0,0.00,1
Akt,Akt II,2016,Eclectic,4.05,4,3.88,4
Akt,Blemmebeya,2011,Eclectic,4.08,2,4.25,2
Al Di Meola,This Is Jazz Vol 31,1999,"Jazz, Guitar Spotlight, Eastern/Ethnic Influence, Instrumental",3.80,42,3.56,48
Al Di Meola,Land Of The Midnight Sun,1976,"Jazz, Guitar Spotlight, Eastern/Ethnic Influence, Instrumental",3.82,68,3.68,172
Al Di Meola,Electric Rendezvous,1982,"Jazz, Guitar Spotlight, Eastern/Ethnic Influence, Instrumental",3.84,47,3.66,126
Al Di Meola,"Tour De Force - ""Live""",1982,"Jazz, Guitar Spotlight, Eastern/Ethnic Influence, Instrumental",3.93,33,3.77,40
Al Di Meola,Casino,1978,"Jazz, Guitar Spotlight, Eastern/Ethnic Influence, Instrumental",4.04,79,4.03,164
Al Di Meola,Elegant Gypsy,1977,"Jazz, Guitar Spotlight, Eastern/Ethnic Influence, Instrumental",4.16,114,4.18,414
Alan Morse,Four O'Clock And Hysteria,2007,"Guitar Spotlight, Jazz, Instrumental",3.92,73,3.84,178
Alan Parsons Project,I Robot,1977,"Crossover, Symphonic",3.91,50,3.78,57
Alan Parsons Project,Tales Of Mystery And Imagination,1976,"Crossover, Symphonic",4.17,75,4.22,280
Alan Simon,Excalibur II: L'Anneau Des Celtes,2007,"Symphonic, Folk/Celtic",3.82,41,3.59,69
Alarion,Waves Of Destruction,2016,Progressive,4.06,1,3.50,7
Alas,Pinta Tu Aldea,1979,Jazz,0.00,0,0.00,0
Alas,Alas,1976,Jazz,3.93,16,3.59,26
Alas,Mimame Bandoneon,2003,Jazz,3.99,2,2.50,1
Albatros,Ursus,2011,Eclectic,0.00,0,0.00,2
Alberto Rigoni,Rebirth,2011,"Heavy, Jazz, Instrumental",3.83,42,3.61,202
Alberto Rigoni,Something Different,2008,"Heavy, Jazz, Instrumental",3.88,55,3.75,124
Alberto Rigoni,Overloaded,2014,Heavy,4.07,4,4.00,4
Albion,Wabiac cienie,2005,Neo-Progressive,0.00,0,0.00,0
Albion,Broken Hopes,2007,Neo-Progressive,3.91,22,3.64,33
Albion,The Indefinite State Of Matter,2012,Neo-Progressive,4.09,5,4.20,10
Albion,Unsongs,2015,Neo-Progressive,4.11,3,4.50,7
Alcatrazz,Live Sentence,1984,Metal,4.04,6,3.83,74
Alcest,Écailles De Lune,2010,Post-Metal,0.00,0,0.00,0
Alcest,Souvenirs D'un Autre Monde,2007,Post-Metal,0.00,0,0.00,1
Alco Frisbass,Alco Frisbass,2015,Eclectic,4.01,4,3.38,3
Alessandro Benvenuti,Sonic Design,2002,"Jazz, Guitar Spotlight, Instrumental",3.91,30,3.72,45
Alessandro Bertoni,Keystone,2013,"Heavy, Jazz, Instrumental",4.04,20,3.97,34
Alessandro Bertoni,Keystone,2013,"Heavy, Jazz, Instrumental",4.04,20,3.98,33
Alex Argento,EGO.,2007,"LTE/Planet X and Influenced, Instrumental",3.95,126,3.91,362
Alex Carpani,So Close. So Far,2016,"Symphonic, Instrumental",3.98,7,3.50,9
Alex Carpani,Waterline,2005,"Symphonic, Instrumental",4.06,53,4.06,186
Alex Carpani,The Sanctuary,2010,"Symphonic, Instrumental",4.07,2,4.00,3
Alex Lifeson,Victor,1996,"Crossover, Rush and Influenced",4.04,67,4.02,213
Alex Masi,Theory of Everything,2010,"Guitar Spotlight, Shred, Instrumental",3.92,53,3.81,51
Algarnas Tradgard,Delayed,2001,Psychedelic,4.07,1,4.00,4
Ali Ferguson,A Sequence of Moments,2016,Crossover,4.10,5,4.30,5
Alio Die,Seamlessly bliss,2016,,0.00,0,0.00,1
Alio Die & Lorenzo Montanà,Holographic Codex,2015,Electronic,4.05,1,3.00,1
Alitheia,Chthonick,2008,Experimental,3.83,49,3.65,56
All Too Human,Juggernaut,2012,Fates Warning & Influenced,4.07,43,4.06,152
All Too Human,Entropy,2002,Fates Warning & Influenced,4.10,51,4.12,178
Allan Holdsworth,None Too Soon,1996,"Jazz, Guitar Spotlight",0.00,0,0.00,0
Allan Holdsworth,Hard Hat Area,1994,"Jazz, Guitar Spotlight",3.82,46,3.62,106
Allan Holdsworth,I. O. U.,1982,"Jazz, Guitar Spotlight",3.84,31,3.56,59
Allan Holdsworth,Wardenclyffe Tower,1992,"Jazz, Guitar Spotlight",3.90,24,3.63,64
Allan Holdsworth,Metal Fatigue,1985,"Jazz, Guitar Spotlight",4.01,79,3.98,250
Allen/Lande,The Great Divide,2014,Melodic,4.06,10,4.00,27
Allen/Lande,The Showdown,2010,Melodic,4.20,68,4.26,264
Allen/Lande,The Battle,2005,Melodic,4.26,144,4.30,594
Allen/Lande,The Revenge,2007,Melodic,4.41,150,4.49,585
Alogia,Elegia Balcanica,2014,Progressive,0.00,0,0.00,3
Alogia,Secret Spheres Of Art,2002,Progressive,3.93,32,3.77,135
Alpha Wave Movement,Earthen,2015,Electronic,4.04,2,3.50,3
Alphataurus,AttosecondO,2012,Progressive,0.00,0,0.00,1
Alphataurus,Alphataurus,1973,Progressive,4.07,1,4.00,1
Also Eden,[Redacted],2013,Neo-Progressive,4.04,2,3.50,3
Also Eden,Think of the Children!,2011,Neo-Progressive,4.07,3,4.00,9
Also Eden,Differences As Light,2010,Neo-Progressive,4.07,2,4.00,9
Altar of Plagues,Teethed Glory And Injury,2013,Post-Metal,0.00,0,0.00,3
Altar of Plagues,White Tomb,2009,Post-Metal,0.00,0,0.00,0
Altera Enigma,Alteration,2006,Instrumental,3.88,41,3.71,145
Altera Enigma,Alteration,2006,Instrumental,4.07,37,4.07,141
Altered Symmetry,Prologue,2011,Progressive,4.08,2,4.25,21
Altura,Mercy,1996,Technical DTI,3.99,18,3.81,27
Amadeus Awad,Death Is Just A Feeling,2015,Crossover,4.09,3,4.33,4
Amadeus Awad's Eon,The Book of Gates,2014,Power,4.13,4,4.63,11
Amagrama,Ciclotimia,2004,Symphonic,4.08,1,4.50,1
Amaran's Plight,Voice In The Light,2007,Heavy,4.09,143,4.09,339
Amarok,Quentadharken,2004,Progressive,4.09,4,4.25,3
Amaseffer,Exodus - Slaves for Life,2008,"Heavy, Symphonic, Eastern/Ethnic Influence",4.40,238,4.45,1065
Amaseffer,Exodus - Slaves for Life,2008,"Heavy, Symphonic, Eastern/Ethnic Influence",4.40,237,4.45,1050
Ambeon,Fate Of A Dreamer,2001,"Post-Rock, Female-Fronted",4.41,287,4.45,1238
Amesoeurs,Amesoeurs,2009,Post-Metal,0.00,0,0.00,2
Amoeba Split,Dance Of The Goodbyes,2010,Jazz,4.06,1,3.50,3
Amoeba Split,Second Split,2016,Jazz,4.07,3,4.00,3
Amon Düül II,Yeti,1970,KrautRock,4.12,6,4.42,8
Amon Ra,We Never Said Good-Bye,2015,Neo-Progressive,4.07,2,4.00,5
Amoral,Beneath,2012,Melodic,4.05,5,3.90,17
Amoral,Fallen Leaves & Dead Sparrows,2014,Melodic,4.06,15,4.03,33
Amoral,In Sequence,2016,Melodic,4.07,1,4.00,5
Amorphis,My Kantele,1997,Progressive,4.01,19,3.89,56
Amorphis,Far From The Sun,2003,Progressive,4.03,8,3.81,38
Amorphis,Circle,2013,Progressive,4.06,14,4.04,31
Amorphis,Under The Red Cloud,2015,Progressive,4.06,5,4.00,16
Amorphis,Eclipse..,2006,Progressive,4.08,65,4.08,174
Amorphis,Elegy.,1996,Progressive,4.09,31,4.11,92
Amorphis,House Of Sleep,2000,Progressive,4.11,15,4.20,33
Amorphis,Tuonela,1999,Progressive,4.12,26,4.19,162
Amorphis,Skyforger,2009,Progressive,4.15,72,4.19,205
Amorphis,Am Universum,2001,Progressive,4.18,29,4.33,77
Amphetamin,A Flood Of Strange Sensations,2016,Progressive,0.00,0,0.00,0
Amplifier,Octopus (Part One),2011,"Post-Rock, Psychedelic",3.88,30,3.65,74
Amplifier,Eternity,2009,"Post-Rock, Psychedelic",3.91,29,3.69,97
Amplifier,Insider,2006,"Post-Rock, Psychedelic",3.92,51,3.80,107
Amplifier,Octopus (Part Two),2010,"Post-Rock, Psychedelic",3.92,27,3.70,31
Amplifier,The Astronaut Dismantles HAL,2005,"Post-Rock, Psychedelic",3.94,27,3.76,75
Amplifier,Echo Street,2013,"Post-Rock, Psychedelic",3.96,25,3.78,33
Amplifier,Amplifier,2005,"Post-Rock, Psychedelic",4.07,54,4.06,127
Amplifier,Mystoria,2014,"Post-Rock, Psychedelic",4.11,3,4.50,17
An Endless Sporadic,Anything,2014,"Heavy, Jazz, Instrumental",4.07,2,4.00,3
An Endless Sporadic,Anything,2014,"Heavy, Jazz, Instrumental",4.07,2,4.00,2
An Endless Sporadic,The Adventures of Jabubu,2014,"Heavy, Jazz, Instrumental",4.07,1,4.00,2
An Endless Sporadic,The Adventures of Jabubu,2014,"Heavy, Jazz, Instrumental",4.07,1,4.00,2
An Endless Sporadic,Sun of Pearl,2014,"Heavy, Jazz, Instrumental",4.10,2,4.50,2
An Endless Sporadic,Ameliorate,2009,"Heavy, Jazz, Instrumental",4.10,5,4.30,30
An Endless Sporadic,Ameliorate,2009,"Heavy, Jazz, Instrumental",4.10,5,4.30,27
An Endless Sporadic,An Endless Sporadic,2009,"Heavy, Jazz, Instrumental",4.11,19,4.18,45
An Endless Sporadic,Sun of Pearl,2014,"Heavy, Jazz, Instrumental",4.12,3,4.67,8
An Endless Sporadic,An Endless Sporadic,2009,"Heavy, Jazz, Instrumental",4.12,17,4.24,42
An Endless Sporadic,Singles,2014,"Heavy, Jazz, Instrumental",4.13,8,4.38,24
An Endless Sporadic,Singles,2014,"Heavy, Jazz, Instrumental",4.15,8,4.50,17
Ananke,Shangri-La,2012,Neo-Progressive,0.00,0,0.00,1
Anas Ibn Malek,Delusional Thoughts,2013,"Shred, Instrumental",4.05,11,3.95,15
Anathema,Serenades,1993,Post-Metal,0.00,0,0.00,10
Anathema,The Silent Enigma,1995,Post-Metal,0.00,0,0.00,30
Anathema,Alternative 4,2003,Post-Rock,4.05,58,4.03,213
Anathema,Weather Systems,2012,Post-Rock,4.06,63,4.05,150
Anathema,Distant Satellites,2014,Post-Rock,4.06,13,4.04,38
Anathema,A Fine Day To Exit,2001,Post-Rock,4.12,46,4.16,121
Anathema,Hindsight,2008,Post-Rock,4.14,28,4.23,73
Anathema,A Natural Disaster,2003,Post-Rock,4.23,94,4.29,418
Anathema,Eternity.,1996,Post-Metal,4.23,45,4.37,113
Anathema,Judgement,1999,Post-Rock,4.25,33,4.44,120
Anathema,We're Here Because We're Here,2010,Post-Rock,4.25,81,4.33,292
Anaxes,Antithesis,2010,Progressive,4.10,47,4.13,164
Ancestors,Of Sound Mind,2009,"Progressive, Stoner, Goth Doom",0.00,0,0.00,1
Ancient Bards,A New Dawn Ending,2014,"Power, Symphonic, Goth Doom, Female-Fronted",4.01,12,3.83,14
Anciients,Voice Of The Void,2016,Progressive,0.00,0,0.00,0
"Anders Johansson, Jens Johannson, Allan Holdsworth",Heavy Machinery,1996,"Jazz, Jazz, Instrumental",3.85,69,3.72,296
"Anderson, Bruford, Wakeman, Howe","Anderson, Bruford, Wakeman, Howe",1989,"Symphonic, Yes Influenced",3.92,76,3.85,237
Anderson/Stolt,Invention Of Knowledge,2016,Progressive,4.14,3,5.00,3
AndersonPonty Band,Better Late Than Never,2015,Cover Songs,4.11,11,4.23,17
Andre Matos,Time To Be Free,2007,Power,4.18,42,4.27,72
Andromeda,Manifest Tyranny,2011,"Melodic, Technical DTI",4.25,117,4.30,438
Andromeda,Extension Of The Wish,2001,"Melodic, Technical DTI",4.28,73,4.39,153
Andromeda,Extension Of The Wish - Final Extension,2001,"Melodic, Technical DTI",4.29,142,4.35,555
Andromeda,Chimera,2006,"Melodic, Technical DTI",4.34,173,4.40,1029
Andromeda,The Immunity Zone,2008,"Melodic, Technical DTI",4.34,196,4.40,821
Andromeda,II = I,2003,"Melodic, Technical DTI",4.42,167,4.50,932
Andy Jackson,73 Days At Sea,2016,Psychedelic,4.08,2,4.25,3
Andy James,Psychic Transfusion EP,2013,"Technical, Instrumental, Guitar Spotlight, Shred",4.12,17,4.24,56
Andy Timmons Band,Resolution,2006,"Guitar Spotlight, Instrumental",3.88,41,3.71,58
Andy West with Rama,Rama 1,2002,"Jazz, LTE/Planet X and Influenced, Instrumental",3.88,32,3.66,102
Anekdoten,Gravity,2003,"Heavy, Instrumental, Eclectic",3.91,24,3.65,47
Anekdoten,Until All The Ghosts Are Gone,2015,Progressive,3.96,12,3.63,22
Anekdoten,Vemod,1993,"Heavy, Instrumental, Eclectic",4.00,48,3.95,109
Anekdoten,A Time of Day,2007,"Heavy, Instrumental, Eclectic",4.02,67,3.99,268
Anekdoten,Chapters - Disc 1,2009,"Heavy, Instrumental, Eclectic",4.11,10,4.25,60
Anekdoten,From Within,1999,"Heavy, Instrumental, Eclectic",4.13,32,4.19,90
Angel Of Eden,The End Of Never,2007,"Power, Neo-Progressive, Classical",3.90,35,3.71,60
Angel Ontalva,Tierra Quemada,2015,Jazz,0.00,0,0.00,1
Angel Ontalva,Mundo Flotante,2012,Jazz,4.07,1,4.00,1
Angel Vivaldi,Revelations,2008,"Guitar Spotlight, Shred, Instrumental",4.07,2,4.00,4
Angel Vivaldi,The Speed of Dark,2010,"Guitar Spotlight, Shred, Instrumental",4.08,8,4.13,10
Angel Vivaldi,"Away With Words, Part 1",2014,"Guitar Spotlight, Shred, Instrumental",4.10,9,4.22,13
Änglagård,Epilog,1994,Symphonic,3.97,20,3.77,54
Änglagård,Buried Alive,1996,Symphonic,4.11,66,4.14,154
Änglagård,Viljars Öga,2012,Symphonic,4.12,47,4.16,111
Änglagård,Prog Pa Svenska - Live In Japan [Disc 2],2014,Symphonic,4.14,7,4.50,13
Änglagård,Prog Pa Svenska - Live In Japan [Disc 1],2014,Symphonic,4.22,9,4.83,40
Änglagård,Hybris,1992,Symphonic,4.32,88,4.43,554
Angra,Rebirth World Tour - Live In Sao Paulo CD2,2003,Power,3.97,29,3.84,73
Angra,Freedom Call,1996,Power,3.99,14,3.75,65
Angra,Aurora Consurgens,2006,Power,4.04,38,4.00,116
Angra,Rebirth World Tour - Live In Sao Paulo CD1,2003,Power,4.07,34,4.07,85
Angra,Fireworks,1998,Power,4.07,33,4.08,121
Angra,Secret Garden,2015,Power,4.08,3,4.17,9
